w,gap
0.00,8.20
0.01,-0.52
0.05,11.69
0.00,2.63
0.00,1.10
0.00,4.63
0.09,0.62
0.41,-0.77
0.02,3.94
0.09,0.58
0.06,10.46
0.88,0.89
0.06,1.16
0.27,-0.90
0.01,9.26
0.21,0.76
0.56,-0.54
0.91,0.60
0.04,1.93
0.00,4.56
0.23,-0.85
0.01,1.73
0.06,8.37
0.03,2.12
0.03,3.89
0.01,1.28
0.30,-1.13
0.38,-0.92
0.00,8.09
0.20,-0.90
0.84,1.27
0.00,5.94
0.00,3.30
0.15,-1.70
0.75,0.63
0.01,3.98
0.00,6.69
0.02,7.35
0.04,4.63
0.18,-1.10
0.16,2.24
0.75,1.40
0.00,8.66
0.04,4.36
0.39,-0.88
0.00,4.41
0.14,1.00
0.36,-1.01
0.00,6.51
0.14,-1.32
0.19,4.22
0.00,2.02
0.19,-0.67
0.18,-1.00
0.00,1.46
0.02,1.11
0.00,2.29
0.11,3.08
0.16,-1.20
0.11,-1.68
0.18,-1.63
0.10,3.62
0.05,0.61
0.37,-0.52
0.17,0.91
0.50,-0.69
0.05,4.42
0.00,3.31
0.49,-0.71
0.05,1.79
0.00,2.30
0.00,1.15
0.02,6.65
0.05,3.46
0.04,2.84
0.03,4.98
0.04,0.70
0.00,2.10
0.38,-0.98
0.97,0.63
0.27,-0.81
0.02,1.43
0.20,-1.40
0.01,4.90
0.04,8.61
0.28,-1.27
0.60,-0.51
0.03,0.51
0.02,4.66
0.33,-1.10
0.77,0.70
0.01,0.80
0.16,-1.80
0.02,0.65
0.02,2.84
0.02,5.87
0.04,4.63
0.05,5.46
0.00,2.12
0.02,5.83
0.00,13.02
0.04,7.91
0.06,0.56
0.03,2.29
0.02,2.80
0.07,3.83
0.63,0.83
0.98,1.11
0.03,1.22
0.00,1.75
0.14,2.31
0.29,-1.17
0.03,4.55
0.05,4.40
0.29,0.65
0.12,-2.09
0.00,5.28
0.05,2.53
0.00,3.87
0.42,-0.85
0.23,-1.01
0.00,2.04
0.00,4.64
0.44,-0.59
0.02,0.67
0.07,2.73
0.22,-1.52
0.09,-2.36
0.02,1.08
0.56,-0.54
0.06,3.49
0.05,0.96
0.00,7.45
0.02,11.95
0.14,4.73
0.00,3.70
0.09,4.17
0.04,3.97
0.00,12.31
0.00,2.30
0.15,1.76
0.32,-1.14
0.29,0.71
0.00,4.05
0.03,3.75
0.09,1.43
0.11,2.49
0.04,3.64
0.00,4.02
0.36,-0.90
0.23,0.69
0.08,1.21
0.01,8.87
0.30,0.62
0.36,-0.87
0.00,5.99
0.00,5.22
0.06,4.77
0.02,10.77
0.00,6.51
0.00,4.44
0.23,-1.15
0.02,2.10
0.18,-1.52
0.02,5.35
0.00,14.56
0.05,4.69
0.28,-1.27
0.00,0.71
0.00,4.33
0.54,-0.60
0.00,1.71
